Região - Sigla	Estado - Sigla	Município	Revenda	CNPJ da Revenda	Produto	Data da Coleta	Valor de Venda	Valor de Compra	Unidade de Medida	Bandeira
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL	16/01/2019	3,799	3,2166	R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL	23/01/2019	3,799		R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL S10	16/01/2019	3,899	3,2638	R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL S10	23/01/2019	3,899		R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	ETANOL	16/01/2019	3,299	2,9999	R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	ETANOL	23/01/2019	3,299	2,9999	R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	GASOLINA	16/01/2019	4,299	3,6745	R$ / litro	RAIZEN
CO	DF	BRASILIA	ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	GASOLINA	23/01/2019	4,299	3,6745	R$ / litro	RAIZEN
